,,CITY,Openers,Lover Bodysuit,The Man Jacket,Lover Guitar,Fearless Dress,evermore Dress,reputation Jumpsuit,Speak Now Dress,22 Shirt,Like Ever❣️,folklore Dress,1989 Set,Surprise Song Dress,Surprise Song 🎸,Surprise Song 🎹,Guests,Midnights Shirt,Midnights Bodysuit,Karma Jacket,Fun Facts
Lumen Field,"SEATTLE, WA",22-Jul-23,HAIM / Gracie Abrams,,,,,,,,,Like Ever!,,,,This Is Why We Can't Have Nice Things,Everything Has Changed,HAIM,,,,"Taylor replaces 'tis the damn season' with 'no body, no crime' with HAIM"
,,23-Jul-23,HAIM / Gracie Abrams,,,,,,,,,Like Ever!,,,,Message In A Bottle,Tied Together With A Smile,HAIM,,,,"Taylor performs 'no body, no crime' with HAIM"
Levi's Stadium,"SANTA CLARA, CA",28-Jul-23,HAIM / Gracie Abrams,,,,,,,,,Like Ever!,,,,right where you left me,Castles Crumbling,HAIM & Aaron Dessner,,,,"Taylor performs 'no body, no crime' with HAIM"
,,29-Jul-23,HAIM / Gracie Abrams,,,,,,,,,Like Ever!,,,,Stay Stay Stay,All Of The Girls You Loved Before,HAIM,,,,"Taylor performs 'no body, no crime' with HAIM"
SoFi Stadium,"LOS ANGELES, CA",3-Aug-23,HAIM / Gracie Abrams,,,,,,,,,Like Ever!,,,,I Can See You,Maroon,HAIM,,,,"Taylor performs 'no body, no crime' with HAIM & The Eras Tour was being filmed"
,,4-Aug-23,HAIM / OWENN,,,,,,,,,Like Ever!,,,,Our Song,You Are In Love,HAIM,,,,"Taylor performs 'no body, no crime' with HAIM & The Eras Tour was being filmed"
,,5-Aug-23,HAIM / GAYLE,,,,,,,,,Like Ever!,,,,Death By A Thousand Cuts,"You're On Your Own, Kid",HAIM,,,,"Taylor performs 'no body, no crime' with HAIM & The Eras Tour was being filmed"
,,7-Aug-23,HAIM / Gracie Abrams,,,,,,,,,Like Ever!,,,,Dress,exile,HAIM,,,,"Taylor performs 'no body, no crime' with HAIM"
,,8-Aug-23,HAIM / Gracie Abrams,,,,,,,,,Like Ever!,,,,I Know Places,King Of My Heart,HAIM,,,,"Taylor performs 'no body, no crime' with HAIM"
,,9-Aug-23,HAIM / GAYLE,,,,,,,,,Like Ever!,,,,New Romantics,New Year's Day,HAIM,,,,"Taylor performs 'no body, no crime' with HAIM and 1989 (Taylor's Version) announcement"
